from,to,type,evidence_tag,note
BC-PRQ-03006,BC-SKL-03024,supporting,inferred,Prerequisite for Evaluate an inverse trigonometric derivative at a point.
BC-PRQ-03004,BC-SKL-03025,supporting,inferred,Prerequisite for Combine an inverse trigonometric derivative with the product or quotient rule.
BC-PRQ-03006,BC-SKL-03025,supporting,inferred,Prerequisite for Combine an inverse trigonometric derivative with the product or quotient rule.
BC-PRQ-03001,BC-SKL-03026,supporting,inferred,Prerequisite for Classify an expression by its outermost operation.
BC-PRQ-03001,BC-SKL-03027,supporting,inferred,Prerequisite for Select the differentiation rule that the classification indicates.
BC-PRQ-03001,BC-SKL-03028,supporting,inferred,Prerequisite for Order several differentiation rules within one problem.
BC-PRQ-03006,BC-SKL-03029,supporting,inferred,Prerequisite for Rewrite an expression algebraically before differentiating.
BC-PRQ-03005,BC-SKL-03030,supporting,inferred,Prerequisite for Differentiate a first derivative to obtain the second derivative.
BC-PRQ-03005,BC-SKL-03031,supporting,inferred,Prerequisite for Produce a third or higher order derivative by repeating differentiation.
BC-PRQ-03005,BC-SKL-03032,supporting,inferred,Prerequisite for Read and write higher-order derivative notation.
BC-PRQ-03005,BC-SKL-03033,supporting,inferred,Prerequisite for Differentiate a derivative expression that still contains y.
BC-PRQ-03002,BC-SKL-03033,supporting,inferred,Prerequisite for Differentiate a derivative expression that still contains y.
BC-PRQ-03006,BC-SKL-03034,supporting,inferred,Prerequisite for Evaluate a second derivative at a point using dy/dx there.
BC-SKL-03001,BC-SKL-03002,hard_prerequisite,inferred,Decomposition precedes any chain rule application.
BC-SKL-03002,BC-SKL-03003,hard_prerequisite,inferred,A multi-layer composite repeats the two layer procedure.
BC-SKL-03002,BC-SKL-03004,hard_prerequisite,inferred,The table evaluation instantiates the symbolic chain rule.
BC-SKL-03004,BC-SKL-03005,supporting,inferred,Reading values from a graph parallels reading them from a table.
BC-SKL-03002,BC-SKL-03006,hard_prerequisite,inferred,The composite factor is differentiated inside the product or quotient rule.
BC-SKL-03002,BC-SKL-03007,hard_prerequisite,verified,BC-EK-FUN-3D1 states that the chain rule is the basis for implicit differentiation.
BC-SKL-03007,BC-SKL-03008,hard_prerequisite,inferred,The y factor inside a product still carries dy/dx.
BC-SKL-03007,BC-SKL-03009,hard_prerequisite,inferred,Term by term differentiation applies the single term procedure across the equation.
BC-SKL-03008,BC-SKL-03009,hard_prerequisite,inferred,Mixed terms must be handled before the equation is complete.
BC-SKL-03009,BC-SKL-03010,hard_prerequisite,inferred,The equation must exist before dy/dx can be isolated.
BC-SKL-03010,BC-SKL-03011,hard_prerequisite,inferred,An expression for dy/dx is needed before it can be evaluated.
BC-SKL-03010,BC-SKL-03012,hard_prerequisite,inferred,The numerator condition is read off the expression for dy/dx.
BC-SKL-03010,BC-SKL-03013,hard_prerequisite,inferred,The denominator condition is read off the expression for dy/dx.
BC-SKL-03010,BC-SKL-03014,hard_prerequisite,inferred,Verification reproduces the derivation and then matches the stated form.
BC-SKL-03002,BC-SKL-03020,hard_prerequisite,verified,BC-EK-FUN-3E1 derives the inverse rule from the chain rule.
BC-SKL-03015,BC-SKL-03017,hard_prerequisite,inferred,The rule must be available before it is applied.
BC-SKL-03016,BC-SKL-03017,hard_prerequisite,inferred,The matching input is located before the reciprocal is taken.
BC-SKL-03016,BC-SKL-03018,hard_prerequisite,inferred,The matching row is located before the reciprocal is taken.
BC-SKL-03016,BC-SKL-03019,hard_prerequisite,inferred,The matching point is located before the slope is read.
BC-SKL-03021,BC-SKL-03022,hard_prerequisite,inferred,The standard formula is needed before the composite version.
BC-SKL-03002,BC-SKL-03022,hard_prerequisite,verified,BC-EK-FUN-3E2 applies the chain rule to inverse trigonometric functions.
BC-SKL-03009,BC-SKL-03023,hard_prerequisite,inferred,The derivation differentiates a trigonometric equation implicitly.
BC-SKL-03021,BC-SKL-03024,hard_prerequisite,inferred,Evaluation follows the formula.
BC-SKL-03022,BC-SKL-03025,hard_prerequisite,inferred,The composite derivative is inserted into the structural rule.
BC-SKL-03026,BC-SKL-03027,hard_prerequisite,inferred,Classification precedes rule selection.
BC-SKL-03027,BC-SKL-03028,hard_prerequisite,inferred,Rule selection precedes ordering several rules.
BC-SKL-03030,BC-SKL-03031,hard_prerequisite,inferred,Each order builds on the one before.
BC-SKL-03008,BC-SKL-03033,hard_prerequisite,verified,The second derivative of an implicit relation needs the product rule inside the implicit differentiation (sg-25:20).
BC-SKL-03011,BC-SKL-03034,hard_prerequisite,verified,The value of dy/dx at the point is substituted into the second derivative (sg-25:20).
BC-SKL-03033,BC-SKL-03034,hard_prerequisite,inferred,The expression must exist before it is evaluated.
BC-SKL-02027,BC-SKL-03002,hard_prerequisite,inferred,"The power rule is the outer rule in most composite derivatives; no Unit 2 skill id exists yet, so the topic id stands in for it."
BC-TOP-0207,BC-SKL-03002,hard_prerequisite,inferred,"Derivatives of the sine, cosine, exponential, and natural logarithm functions supply the outer derivatives; the topic id stands in for the Unit 2 skill; unmapped"
BC-SKL-02036,BC-SKL-03006,hard_prerequisite,inferred,The product rule is applied around the composite factor; the topic id stands in for the Unit 2 skill
BC-TOP-0209,BC-SKL-03006,hard_prerequisite,inferred,The quotient rule is applied around the composite factor; the topic id stands in for the Unit 2 skill; unmapped
BC-TOP-0208,BC-SKL-03008,hard_prerequisite,verified,BC-EK-CHA-3D2 names the product rule as needed inside implicit differentiation; the topic id stands in for the Unit 2 skill; unmapped
BC-TOP-0202,BC-SKL-03030,hard_prerequisite,inferred,Higher-order differentiation repeats the definition and notation of the derivative; the topic id stands in for the Unit 2 skill; unmapped
BC-SKL-02046,BC-SKL-03028,supporting,inferred,Derivatives of the remaining trigonometric functions widen the set of rules to be selected among; the topic id stands in for the Unit 2 skill
BC-SKL-02021,BC-SKL-03005,supporting,inferred,Knowing where a derivative fails to exist is needed before a slope is read off a graph; the topic id stands in for the Unit 2 skill
