from,to,type,evidence_tag,note
BC-SKL-10018,BC-SKL-10022,hard_prerequisite,inferred,The comparison series is chosen from the p-series and geometric families.
BC-SKL-10006,BC-SKL-10022,supporting,inferred,A geometric comparison series is identified by its ratio.
BC-SKL-10022,BC-SKL-10023,hard_prerequisite,inferred,The inequality is between the series and the comparison series chosen.
BC-SKL-10023,BC-SKL-10024,hard_prerequisite,inferred,The conclusion rests on the inequality established.
BC-SKL-10019,BC-SKL-10024,hard_prerequisite,inferred,The conclusion also rests on the known behaviour of the comparison series.
BC-SKL-10022,BC-SKL-10025,hard_prerequisite,inferred,The ratio is formed with the comparison series chosen.
BC-SKL-10025,BC-SKL-10026,hard_prerequisite,inferred,The conclusion rests on the value of that limit.
BC-SKL-10019,BC-SKL-10026,supporting,inferred,The behaviour transferred is that of the comparison p-series.
BC-SKL-10027,BC-SKL-10028,hard_prerequisite,inferred,The decreasing check is on the absolute values the recognition produced.
BC-SKL-10027,BC-SKL-10029,hard_prerequisite,inferred,The limit taken is of those absolute values.
BC-SKL-10001,BC-SKL-10029,hard_prerequisite,inferred,Confirming the terms tend to zero is a sequence limit.
BC-SKL-10028,BC-SKL-10030,hard_prerequisite,inferred,One of the two stated conditions is that the terms decrease.
BC-SKL-10029,BC-SKL-10030,hard_prerequisite,inferred,The other stated condition is that the terms tend to zero.
BC-SKL-10031,BC-SKL-10032,hard_prerequisite,inferred,The limit is taken of the ratio that was written.
BC-SKL-10001,BC-SKL-10032,supporting,inferred,The limit of the simplified ratio is a sequence limit.
BC-SKL-10032,BC-SKL-10033,hard_prerequisite,inferred,The conclusion rests on the value of that limit.
BC-SKL-10027,BC-SKL-10034,hard_prerequisite,inferred,The series of absolute values is the one the recognition produced.
BC-SKL-10021,BC-SKL-10034,hard_prerequisite,inferred,A test must be selected for the series of absolute values.
BC-SKL-10034,BC-SKL-10035,hard_prerequisite,inferred,The classification rests on the result for the series of absolute values.
BC-SKL-10034,BC-SKL-10036,hard_prerequisite,inferred,Conditional convergence needs the series of absolute values to diverge.
BC-SKL-10030,BC-SKL-10036,hard_prerequisite,inferred,"Conditional convergence needs the original series to converge, usually by the alternating series test."
BC-SKL-10035,BC-SKL-10036,supporting,inferred,The two classifications are stated against each other.
BC-SKL-10035,BC-SKL-10037,hard_prerequisite,inferred,The implication is applied to an absolutely convergent series.
BC-SKL-10035,BC-SKL-10038,hard_prerequisite,inferred,The rearrangement statement is about an absolutely convergent series.
BC-SKL-10030,BC-SKL-10039,hard_prerequisite,inferred,The conditions confirmed are the alternating series test conditions.
BC-SKL-10002,BC-SKL-10040,hard_prerequisite,inferred,The first omitted term is the one after the terms the partial sum keeps.
BC-SKL-10027,BC-SKL-10040,hard_prerequisite,inferred,Writing the next term needs the general term of the alternating series.
BC-SKL-10040,BC-SKL-10041,hard_prerequisite,inferred,The term evaluated is the first omitted term.
BC-SKL-10041,BC-SKL-10042,hard_prerequisite,inferred,The comparison uses the evaluated bounding term.
BC-SKL-10039,BC-SKL-10042,supporting,inferred,The bound is only valid with the conditions confirmed.
BC-SKL-10043,BC-SKL-10044,hard_prerequisite,inferred,The coefficients are the derivative values divided by factorials.
BC-SKL-10043,BC-SKL-10045,supporting,inferred,A table supplies the derivative values instead of computing them.
BC-SKL-10044,BC-SKL-10045,hard_prerequisite,inferred,The assembly from table entries is the Taylor polynomial construction.
BC-SKL-10044,BC-SKL-10046,hard_prerequisite,inferred,A Maclaurin polynomial is the Taylor polynomial about zero.
BC-SKL-10044,BC-SKL-10047,hard_prerequisite,inferred,The related polynomial is still assembled as a Taylor polynomial.
BC-SKL-10044,BC-SKL-10048,hard_prerequisite,inferred,The polynomial must be built before it is evaluated as an approximation.
BC-SKL-10046,BC-SKL-10048,supporting,inferred,Maclaurin approximations are the common case.
BC-SKL-10043,BC-SKL-10049,hard_prerequisite,inferred,The next derivative is one more in the same sequence of derivatives.
BC-SKL-10044,BC-SKL-10049,hard_prerequisite,inferred,Which derivative to bound is fixed by the degree of the polynomial.
BC-SKL-10044,BC-SKL-10050,hard_prerequisite,inferred,The error bound is written for a Taylor polynomial of a stated degree about a centre.
BC-SKL-10049,BC-SKL-10050,hard_prerequisite,inferred,The bound on the next derivative is a factor of the expression.
BC-SKL-10050,BC-SKL-10051,hard_prerequisite,inferred,The comparison evaluates the assembled bound.
BC-SKL-10050,BC-SKL-10052,hard_prerequisite,inferred,Choosing the Lagrange bound presupposes being able to write it.
BC-SKL-10039,BC-SKL-10052,hard_prerequisite,inferred,Choosing the alternating bound presupposes its conditions.
BC-SKL-10042,BC-SKL-10052,supporting,inferred,Both routes end in the same comparison with a tolerance.
BC-SKL-10010,BC-SKL-10053,supporting,inferred,A geometric series in x is the first power series students meet.
BC-SKL-10053,BC-SKL-10054,hard_prerequisite,inferred,The ratio is formed from the coefficients and the centre identified.
BC-SKL-10031,BC-SKL-10054,hard_prerequisite,inferred,The ratio of consecutive terms is written the same way.
BC-SKL-10032,BC-SKL-10054,hard_prerequisite,inferred,"The limit is evaluated the same way, now with x present."
BC-SKL-10054,BC-SKL-10055,hard_prerequisite,inferred,The inequality solved is the ratio limit set less than one.
BC-SKL-10055,BC-SKL-10056,hard_prerequisite,inferred,The radius is read off the solved inequality.
BC-SKL-10055,BC-SKL-10057,hard_prerequisite,inferred,The endpoints substituted are those of the interior found.
BC-SKL-10056,BC-SKL-10057,hard_prerequisite,inferred,The endpoints are the centre displaced by the radius.
BC-SKL-10057,BC-SKL-10058,hard_prerequisite,inferred,The series tested are the ones substitution produced.
BC-SKL-10021,BC-SKL-10058,hard_prerequisite,inferred,A test must be selected for each endpoint series.
BC-SKL-10055,BC-SKL-10059,hard_prerequisite,inferred,The interval reported is the interior with its endpoints decided.
BC-SKL-10058,BC-SKL-10059,hard_prerequisite,inferred,Bracket or parenthesis at each end follows the endpoint result.
BC-SKL-10044,BC-SKL-10060,hard_prerequisite,inferred,The general term generalises the Taylor coefficients.
BC-SKL-10027,BC-SKL-10060,supporting,inferred,The alternating factor is written as in an alternating series.
BC-SKL-10046,BC-SKL-10061,hard_prerequisite,inferred,The exponential series is the Maclaurin polynomial pattern continued.
BC-SKL-10060,BC-SKL-10061,hard_prerequisite,inferred,Reproducing the series means writing its general term.
BC-SKL-10046,BC-SKL-10062,hard_prerequisite,inferred,The sine and cosine series are Maclaurin polynomial patterns continued.
BC-SKL-10060,BC-SKL-10062,hard_prerequisite,inferred,Reproducing the series means writing its general term.
BC-SKL-10008,BC-SKL-10063,hard_prerequisite,inferred,The series for one over one minus x is the geometric sum formula read backwards.
BC-SKL-10010,BC-SKL-10063,hard_prerequisite,inferred,Its interval is the geometric condition on a ratio containing x.
BC-SKL-10061,BC-SKL-10064,hard_prerequisite,inferred,The known series substituted into is usually the exponential one.
BC-SKL-10062,BC-SKL-10064,hard_prerequisite,inferred,The known series substituted into is often sine or cosine.
BC-SKL-10063,BC-SKL-10064,supporting,inferred,Substitution into the geometric series is the other common case.
BC-SKL-10061,BC-SKL-10065,hard_prerequisite,inferred,The series multiplied is a known Maclaurin series.
BC-SKL-10063,BC-SKL-10065,supporting,inferred,The geometric series is often the one multiplied.
BC-SKL-10060,BC-SKL-10066,hard_prerequisite,inferred,The numerical series is the general term with the value substituted.
BC-SKL-10059,BC-SKL-10066,hard_prerequisite,inferred,The input must lie in the interval of convergence.
BC-SKL-10044,BC-SKL-10067,hard_prerequisite,inferred,The partial sum named is the Taylor polynomial.
BC-SKL-10060,BC-SKL-10067,hard_prerequisite,inferred,The series whose partial sum it is must be written.
BC-SKL-10002,BC-SKL-10067,supporting,inferred,Partial sum is the notion being applied.
BC-SKL-10060,BC-SKL-10068,hard_prerequisite,inferred,The general term is what is differentiated.
BC-SKL-10060,BC-SKL-10069,hard_prerequisite,inferred,The general term is what is integrated.
BC-SKL-10068,BC-SKL-10069,supporting,inferred,Term-by-term integration mirrors term-by-term differentiation.
BC-SKL-10068,BC-SKL-10070,hard_prerequisite,inferred,The preserved radius statement is about a differentiated series.
BC-SKL-10069,BC-SKL-10070,hard_prerequisite,inferred,The preserved radius statement is about an integrated series.
BC-SKL-10056,BC-SKL-10070,hard_prerequisite,inferred,The radius reported is the radius of the original series.
BC-SKL-10070,BC-SKL-10071,hard_prerequisite,inferred,The endpoints rechecked are those the preserved radius fixes.
BC-SKL-10057,BC-SKL-10071,hard_prerequisite,inferred,Substituting each endpoint into the new general term is the same substitution step.
BC-SKL-10058,BC-SKL-10071,supporting,inferred,Each resulting numerical series is tested as before.
BC-SKL-10008,BC-SKL-10072,hard_prerequisite,inferred,The closed form is the geometric sum formula.
BC-SKL-10010,BC-SKL-10072,hard_prerequisite,inferred,The first term and ratio are expressions in x.
BC-SKL-10063,BC-SKL-10072,hard_prerequisite,inferred,The recognition is of the series for one over one minus x.
BC-SKL-10059,BC-SKL-10073,hard_prerequisite,inferred,The reason given is the position of the input relative to the interval.
BC-SKL-10072,BC-SKL-10073,supporting,inferred,The closed form is what the series is claimed to converge to.
BC-SKL-01058,BC-SKL-10001,hard_prerequisite,inferred,A sequence limit for a rational formula in n is a limit at infinity settled by comparing degrees.
BC-SKL-01061,BC-SKL-10001,supporting,inferred,Sequence formulas containing radicals are handled as limits at infinity.
BC-SKL-01058,BC-SKL-10032,supporting,inferred,The simplified ratio limit is a limit at infinity.
BC-SKL-06067,BC-SKL-10015,hard_prerequisite,inferred,The matching integral is improper and is written with limit notation.
BC-SKL-06034,BC-SKL-10016,hard_prerequisite,inferred,The integral is antidifferentiated and evaluated between the lower limit and the variable bound.
BC-SKL-06068,BC-SKL-10016,hard_prerequisite,inferred,The value comes from taking the limit of that expression.
BC-SKL-06069,BC-SKL-10017,supporting,inferred,A divergent improper integral is the divergence side of the conclusion.
BC-SKL-02036,BC-SKL-10043,hard_prerequisite,inferred,Successive derivatives of a product need the product rule.
BC-SKL-03002,BC-SKL-10043,hard_prerequisite,inferred,Successive derivatives of a composite need the chain rule.
BC-SKL-03030,BC-SKL-10043,hard_prerequisite,inferred,Each derivative after the first is taken from the one before it.
