from,to,type,evidence_tag,note
BC-PRQ-02004,BC-SKL-02018,supporting,inferred,Prerequisite for Estimate a derivative at a point using technology.
BC-PRQ-02004,BC-SKL-02028,supporting,inferred,Prerequisite for Differentiate a constant function.
BC-PRQ-02004,BC-SKL-02029,supporting,inferred,Prerequisite for Apply the constant multiple rule.
BC-PRQ-02005,BC-SKL-02001,supporting,inferred,Prerequisite for Compute an average rate of change from the increment difference quotient.
BC-PRQ-02005,BC-SKL-02006,supporting,inferred,Prerequisite for Write the derivative at a point using the increment form of the limit.
BC-PRQ-02005,BC-SKL-02007,supporting,inferred,Prerequisite for Write the derivative at a point using the two point form of the limit.
BC-PRQ-02005,BC-SKL-02008,supporting,inferred,Prerequisite for Write the derivative function using the limit definition.
BC-PRQ-02005,BC-SKL-02035,supporting,inferred,Prerequisite for Evaluate a limit by recognising it as the derivative of a known function.
BC-PRQ-03001,BC-SKL-03001,supporting,inferred,Prerequisite for Decompose a composite function into outer and inner functions.
BC-PRQ-03001,BC-SKL-03002,supporting,inferred,Prerequisite for Differentiate a two layer composite function with the chain rule.
BC-PRQ-03001,BC-SKL-03003,supporting,inferred,Prerequisite for Differentiate a composite with three or more layers.
BC-PRQ-03001,BC-SKL-03004,supporting,inferred,Prerequisite for Evaluate the derivative of a composite at a point from a table of values.
BC-PRQ-03001,BC-SKL-03005,supporting,inferred,Prerequisite for Evaluate the derivative of a composite at a point from graphs.
BC-PRQ-03001,BC-SKL-03006,supporting,inferred,Prerequisite for Combine the chain rule with the product or quotient rule.
BC-PRQ-03001,BC-SKL-03026,supporting,inferred,Prerequisite for Classify an expression by its outermost operation.
BC-PRQ-03001,BC-SKL-03027,supporting,inferred,Prerequisite for Select the differentiation rule that the classification indicates.
BC-PRQ-03001,BC-SKL-03028,supporting,inferred,Prerequisite for Order several differentiation rules within one problem.
BC-PRQ-03002,BC-SKL-03010,supporting,inferred,Prerequisite for Solve the differentiated equation for dy/dx.
BC-PRQ-03002,BC-SKL-03014,supporting,inferred,Prerequisite for Verify a supplied expression for dy/dx by implicit differentiation.
BC-PRQ-03002,BC-SKL-03033,supporting,inferred,Prerequisite for Differentiate a derivative expression that still contains y.
BC-PRQ-03003,BC-SKL-03015,supporting,inferred,Prerequisite for State the inverse function derivative rule with its hypotheses.
BC-PRQ-03003,BC-SKL-03016,supporting,inferred,Prerequisite for Locate the matching input on the original function.
BC-PRQ-03003,BC-SKL-03017,supporting,inferred,Prerequisite for Compute the derivative of an inverse at a point from a formula.
BC-PRQ-03003,BC-SKL-03018,supporting,inferred,Prerequisite for Compute the derivative of an inverse at a point from a table.
BC-PRQ-03003,BC-SKL-03019,supporting,inferred,Prerequisite for Compute the derivative of an inverse at a point from a graph.
BC-PRQ-03003,BC-SKL-03020,supporting,inferred,Prerequisite for Derive the inverse derivative rule from the chain rule.
BC-PRQ-03004,BC-SKL-03021,supporting,inferred,"Prerequisite for State the derivatives of the inverse sine, cosine, and tangent functions."
BC-PRQ-03004,BC-SKL-03022,supporting,inferred,Prerequisite for Differentiate an inverse trigonometric function of an inner expression.
BC-PRQ-03004,BC-SKL-03023,supporting,inferred,Prerequisite for Derive an inverse trigonometric derivative by implicit differentiation.
BC-PRQ-03004,BC-SKL-03024,supporting,inferred,Prerequisite for Evaluate an inverse trigonometric derivative at a point.
BC-PRQ-03004,BC-SKL-03025,supporting,inferred,Prerequisite for Combine an inverse trigonometric derivative with the product or quotient rule.
BC-PRQ-03005,BC-SKL-03004,supporting,inferred,Prerequisite for Evaluate the derivative of a composite at a point from a table of values.
BC-PRQ-03005,BC-SKL-03005,supporting,inferred,Prerequisite for Evaluate the derivative of a composite at a point from graphs.
BC-PRQ-03005,BC-SKL-03007,supporting,inferred,Prerequisite for Differentiate a term in y with respect to x producing a dy/dx factor.
BC-PRQ-03005,BC-SKL-03008,supporting,inferred,Prerequisite for Apply the product rule to a term containing both x and y.
BC-PRQ-03005,BC-SKL-03009,supporting,inferred,Prerequisite for Differentiate both sides of an implicit equation term by term.
BC-PRQ-03005,BC-SKL-03030,supporting,inferred,Prerequisite for Differentiate a first derivative to obtain the second derivative.
BC-PRQ-03005,BC-SKL-03031,supporting,inferred,Prerequisite for Produce a third or higher order derivative by repeating differentiation.
BC-PRQ-03005,BC-SKL-03032,supporting,inferred,Prerequisite for Read and write higher-order derivative notation.
BC-PRQ-03005,BC-SKL-03033,supporting,inferred,Prerequisite for Differentiate a derivative expression that still contains y.
BC-PRQ-03006,BC-SKL-03006,supporting,inferred,Prerequisite for Combine the chain rule with the product or quotient rule.
BC-PRQ-03006,BC-SKL-03011,supporting,inferred,Prerequisite for Evaluate dy/dx at a stated point on the curve.
BC-PRQ-03006,BC-SKL-03014,supporting,inferred,Prerequisite for Verify a supplied expression for dy/dx by implicit differentiation.
BC-PRQ-03006,BC-SKL-03017,supporting,inferred,Prerequisite for Compute the derivative of an inverse at a point from a formula.
BC-PRQ-03006,BC-SKL-03024,supporting,inferred,Prerequisite for Evaluate an inverse trigonometric derivative at a point.
BC-PRQ-03006,BC-SKL-03025,supporting,inferred,Prerequisite for Combine an inverse trigonometric derivative with the product or quotient rule.
BC-PRQ-03006,BC-SKL-03029,supporting,inferred,Prerequisite for Rewrite an expression algebraically before differentiating.
BC-PRQ-03006,BC-SKL-03034,supporting,inferred,Prerequisite for Evaluate a second derivative at a point using dy/dx there.
BC-PRQ-03007,BC-SKL-03012,supporting,inferred,Prerequisite for Locate a point where the tangent to an implicit curve is horizontal.
BC-PRQ-03007,BC-SKL-03013,supporting,inferred,Prerequisite for Locate a point where the tangent to an implicit curve is vertical.
BC-PRQ-04001,BC-SKL-04018,supporting,inferred,Prerequisite for Write an equation relating the varying quantities.
BC-PRQ-04002,BC-SKL-04018,supporting,inferred,Prerequisite for Write an equation relating the varying quantities.
BC-PRQ-04003,BC-SKL-04021,supporting,inferred,Prerequisite for Reduce the number of variables before differentiating.
BC-PRQ-04004,BC-SKL-04001,supporting,inferred,Prerequisite for State the units of a derivative in context.
BC-PRQ-04004,BC-SKL-04002,supporting,inferred,Prerequisite for Write a sentence interpreting a derivative value in context.
BC-PRQ-04004,BC-SKL-04004,supporting,inferred,Prerequisite for Approximate a derivative from an average rate of change with units.
BC-PRQ-04004,BC-SKL-04014,supporting,inferred,Prerequisite for Compute and report a rate of change with context-appropriate units.
BC-PRQ-04004,BC-SKL-04025,supporting,inferred,Prerequisite for Report a related rate with units and interpret its sign.
BC-PRQ-04005,BC-SKL-04008,supporting,inferred,Prerequisite for Compute the speed of a particle from its velocity.
BC-PRQ-04005,BC-SKL-04010,supporting,inferred,Prerequisite for Determine whether speed is increasing from the signs of velocity and acceleration.
BC-PRQ-04006,BC-SKL-04028,supporting,inferred,Prerequisite for Write the equation of the tangent line at a point.
BC-PRQ-04006,BC-SKL-04029,supporting,inferred,Prerequisite for Approximate a function value with the tangent line.
BC-PRQ-04006,BC-SKL-04032,supporting,inferred,Prerequisite for Use a supplied derivative expression to obtain the slope at the point of tangency.
BC-PRQ-04007,BC-SKL-04024,supporting,inferred,Prerequisite for Solve the differentiated equation for the unknown rate.
BC-PRQ-04007,BC-SKL-04026,supporting,inferred,Prerequisite for Compute a missing instantaneous value from the relating equation.
BC-PRQ-04008,BC-SKL-04002,supporting,inferred,Prerequisite for Write a sentence interpreting a derivative value in context.
BC-PRQ-04008,BC-SKL-04003,supporting,inferred,Prerequisite for Distinguish the value of a function from the value of its derivative in context.
BC-PRQ-04008,BC-SKL-04005,supporting,inferred,Prerequisite for Interpret the sign and size of a derivative in context.
BC-PRQ-04008,BC-SKL-04006,supporting,inferred,Prerequisite for Differentiate a position function to obtain velocity.
BC-PRQ-04008,BC-SKL-04007,supporting,inferred,Prerequisite for Differentiate a velocity function to obtain acceleration.
BC-PRQ-04008,BC-SKL-04013,supporting,inferred,Prerequisite for Identify the quantity and its independent variable in a non-motion context.
BC-PRQ-04008,BC-SKL-04015,supporting,inferred,Prerequisite for Use context vocabulary rather than motion vocabulary.
BC-PRQ-04008,BC-SKL-04016,supporting,inferred,Prerequisite for Interpret an end behaviour limit of a rate in context.
BC-PRQ-04008,BC-SKL-04017,supporting,inferred,Prerequisite for Identify the variables and which rates are given and wanted.
BC-PRQ-04008,BC-SKL-04019,supporting,inferred,Prerequisite for Differentiate a relation with respect to time using the chain rule.
BC-PRQ-04008,BC-SKL-04020,supporting,inferred,Prerequisite for Apply the product rule inside a related rates differentiation.
BC-PRQ-04008,BC-SKL-04022,supporting,inferred,Prerequisite for Differentiate an implicitly defined curve with respect to time.
BC-PRQ-04008,BC-SKL-04023,supporting,inferred,Prerequisite for Substitute instantaneous values only after differentiating.
BC-PRQ-04008,BC-SKL-04027,supporting,inferred,Prerequisite for Distinguish quantities constant in time from quantities varying in time.
BC-PRQ-04008,BC-SKL-04030,supporting,inferred,Prerequisite for Decide whether a tangent line approximation over or under estimates.
BC-PRQ-04008,BC-SKL-04031,supporting,inferred,Prerequisite for Justify the estimate direction with the sign of the second derivative.
BC-PRQ-04008,BC-SKL-04033,supporting,inferred,Prerequisite for Verify that a limit has an indeterminate form.
BC-PRQ-04008,BC-SKL-04034,supporting,inferred,Prerequisite for State L'Hospital's rule with its hypotheses.
BC-PRQ-04008,BC-SKL-04035,supporting,inferred,Prerequisite for Apply the rule by differentiating numerator and denominator separately.
BC-PRQ-04008,BC-SKL-04036,supporting,inferred,Prerequisite for Evaluate the limit that the rule produces.
BC-PRQ-04008,BC-SKL-04037,supporting,inferred,Prerequisite for Apply the rule again when the form is still indeterminate.
BC-PRQ-04008,BC-SKL-04038,supporting,inferred,Prerequisite for Use differentiability to evaluate a limit of a given function.
BC-PRQ-04009,BC-SKL-04009,supporting,inferred,Prerequisite for Determine the direction of motion from the sign of velocity.
BC-PRQ-04009,BC-SKL-04011,supporting,inferred,Prerequisite for Find when a particle is at rest or changes direction.
BC-PRQ-04009,BC-SKL-04012,supporting,inferred,Prerequisite for Communicate a sign analysis of velocity across a whole interval.
BC-PRQ-05001,BC-SKL-05005,supporting,inferred,Prerequisite for Solve for a value of c that the theorem provides.
BC-PRQ-05001,BC-SKL-05010,supporting,inferred,Prerequisite for Determine critical points where the first derivative equals zero.
BC-PRQ-05001,BC-SKL-05011,supporting,inferred,Prerequisite for Determine critical points where the first derivative fails to exist.
BC-PRQ-05001,BC-SKL-05014,supporting,inferred,Prerequisite for Determine where the first derivative is positive or negative from a formula.
BC-PRQ-05001,BC-SKL-05030,supporting,inferred,Prerequisite for Determine intervals of concavity from the sign of the second derivative.
BC-PRQ-05001,BC-SKL-05032,supporting,inferred,Prerequisite for Locate candidate points of inflection where the second derivative is zero or undefined.
BC-PRQ-05001,BC-SKL-05058,supporting,inferred,Prerequisite for Determine where the derivative of an implicit relation equals zero.
BC-PRQ-05001,BC-SKL-05059,supporting,inferred,Prerequisite for Determine where the derivative of an implicit relation fails to exist.
BC-PRQ-05001,BC-SKL-07040,supporting,inferred,Prerequisite for Identify the carrying capacity from the form of the equation.
BC-PRQ-05002,BC-SKL-05014,supporting,inferred,Prerequisite for Determine where the first derivative is positive or negative from a formula.
BC-PRQ-05002,BC-SKL-05030,supporting,inferred,Prerequisite for Determine intervals of concavity from the sign of the second derivative.
BC-PRQ-05003,BC-SKL-05010,supporting,inferred,Prerequisite for Determine critical points where the first derivative equals zero.
BC-PRQ-05003,BC-SKL-05011,supporting,inferred,Prerequisite for Determine critical points where the first derivative fails to exist.
BC-PRQ-05003,BC-SKL-05016,supporting,inferred,Prerequisite for Build a sign chart on critical points and domain boundaries.
BC-PRQ-05003,BC-SKL-05018,supporting,inferred,Prerequisite for Restrict a monotonicity conclusion to the domain of the function.
BC-PRQ-05003,BC-SKL-05032,supporting,inferred,Prerequisite for Locate candidate points of inflection where the second derivative is zero or undefined.
BC-PRQ-05003,BC-SKL-05051,supporting,inferred,Prerequisite for Determine the domain of the objective from the context.
BC-PRQ-05003,BC-SKL-07031,supporting,inferred,Prerequisite for State the domain restriction the initial condition selects.
BC-PRQ-05004,BC-SKL-05001,supporting,inferred,Prerequisite for State the hypotheses of the Mean Value Theorem for a function and an interval.
BC-PRQ-05004,BC-SKL-05007,supporting,inferred,Prerequisite for State the hypothesis of the Extreme Value Theorem.
BC-PRQ-05004,BC-SKL-05024,supporting,inferred,Prerequisite for Assemble the candidate list from critical points and both endpoints.
BC-PRQ-05005,BC-SKL-05049,supporting,inferred,Prerequisite for Name the quantity to be optimised and assign the variables.
BC-PRQ-05005,BC-SKL-05050,supporting,inferred,Prerequisite for Use the constraint to write the objective as a function of one variable.
BC-PRQ-05006,BC-SKL-05012,supporting,inferred,Prerequisite for Distinguish a relative extremum from an absolute extremum.
BC-PRQ-05006,BC-SKL-05015,supporting,inferred,Prerequisite for Read intervals of increase and decrease from the graph of the derivative.
BC-PRQ-05006,BC-SKL-05031,supporting,inferred,Prerequisite for Determine concavity from whether the derivative graph rises or falls.
BC-PRQ-05006,BC-SKL-05040,supporting,inferred,Prerequisite for Sketch the graph of the derivative from the graph of a function.
BC-PRQ-05007,BC-SKL-05058,supporting,inferred,Prerequisite for Determine where the derivative of an implicit relation equals zero.
BC-PRQ-05007,BC-SKL-05059,supporting,inferred,Prerequisite for Determine where the derivative of an implicit relation fails to exist.
BC-PRQ-05007,BC-SKL-05060,supporting,inferred,Prerequisite for Solve the defining relation and the derived condition together.
BC-PRQ-05007,BC-SKL-05061,supporting,inferred,Prerequisite for Compute a second derivative of an implicit relation.
BC-PRQ-05008,BC-SKL-05003,supporting,inferred,Prerequisite for Compute the average rate of change over a closed interval.
BC-PRQ-06001,BC-SKL-06047,supporting,inferred,Prerequisite for Select a substitution by identifying an inner function whose derivative appears.
BC-PRQ-06001,BC-SKL-06048,supporting,inferred,Prerequisite for Convert the differential and adjust the constant when substituting.
BC-PRQ-06001,BC-SKL-06055,supporting,inferred,Prerequisite for Rewrite an integrand by splitting or expanding before antidifferentiating.
BC-PRQ-06001,BC-SKL-06071,supporting,inferred,Prerequisite for Classify an integrand to select an antidifferentiation technique.
BC-PRQ-06002,BC-SKL-02025,supporting,inferred,Prerequisite for Differentiate a power function with an integer exponent.
BC-PRQ-06002,BC-SKL-02026,supporting,inferred,Prerequisite for Differentiate a power function after rewriting a radical or a reciprocal as a power.
BC-PRQ-06002,BC-SKL-02033,supporting,inferred,Prerequisite for Differentiate the natural exponential function.
BC-PRQ-06002,BC-SKL-06034,supporting,inferred,Prerequisite for Evaluate a definite integral by antidifferentiation and endpoint substitution.
BC-PRQ-06002,BC-SKL-06040,supporting,inferred,Prerequisite for Antidifferentiate power functions including negative and fractional exponents.
BC-PRQ-06002,BC-SKL-06055,supporting,inferred,Prerequisite for Rewrite an integrand by splitting or expanding before antidifferentiating.
BC-PRQ-06002,BC-SKL-08022,supporting,inferred,Prerequisite for Evaluate an area integral and report the area.
BC-PRQ-06002,BC-SKL-08035,supporting,inferred,Prerequisite for Evaluate a cross section volume integral.
BC-PRQ-06002,BC-SKL-08039,supporting,inferred,Prerequisite for Set up and evaluate the volume integral for a named cross section.
BC-PRQ-06002,BC-SKL-08043,supporting,inferred,Prerequisite for Evaluate a disc volume and report it with the factor of pi.
BC-PRQ-06002,BC-SKL-08051,supporting,inferred,Prerequisite for Subtract the squares of the radii rather than squaring their difference.
BC-PRQ-06002,BC-SKL-10016,supporting,inferred,Prerequisite for Evaluate the improper integral using limit notation.
BC-PRQ-06002,BC-SKL-10018,supporting,inferred,Prerequisite for Classify a series as harmonic
BC-PRQ-06002,BC-SKL-10019,supporting,inferred,Prerequisite for Apply the p-series criterion.
BC-PRQ-06002,BC-SKL-10022,supporting,inferred,Prerequisite for Choose a comparison series for a given series.
BC-PRQ-06002,BC-SKL-10041,supporting,inferred,Prerequisite for Evaluate the bounding term at the given input.
BC-PRQ-06002,BC-SKL-10050,supporting,inferred,Prerequisite for Write the Lagrange error bound in the correct form.
BC-PRQ-06002,BC-SKL-10057,supporting,inferred,Prerequisite for Substitute each endpoint to produce the two numerical series.
BC-PRQ-06002,BC-SKL-10064,supporting,inferred,Prerequisite for Construct a Maclaurin series by substitution into a known series.
BC-PRQ-06002,BC-SKL-10065,supporting,inferred,Prerequisite for Construct a series by multiplying a known series by an expression.
BC-PRQ-06002,BC-SKL-10066,supporting,inferred,Prerequisite for Evaluate a Taylor series at a point to obtain a numerical series.
BC-PRQ-06002,BC-SKL-10068,supporting,inferred,Prerequisite for Differentiate a power series term by term.
BC-PRQ-06002,BC-SKL-10069,supporting,inferred,Prerequisite for Integrate a power series term by term and determine the constant.
BC-PRQ-06003,BC-SKL-02034,supporting,inferred,Prerequisite for Differentiate the natural logarithm.
BC-PRQ-06003,BC-SKL-06041,supporting,inferred,Prerequisite for Antidifferentiate exponential and reciprocal integrands.
BC-PRQ-06003,BC-SKL-06052,supporting,inferred,Prerequisite for Apply substitution to an integrand that antidifferentiates to a logarithm.
BC-PRQ-06003,BC-SKL-06064,supporting,inferred,Prerequisite for Antidifferentiate a linear partial fraction decomposition.
BC-PRQ-06003,BC-SKL-06065,supporting,inferred,Prerequisite for Evaluate a definite integral of a rational function by partial fractions.
BC-PRQ-06003,BC-SKL-07025,supporting,inferred,Prerequisite for Antidifferentiate both sides of the separated equation.
BC-PRQ-06003,BC-SKL-07036,supporting,inferred,Prerequisite for Determine the constant of proportionality from a second data pair.
BC-PRQ-06003,BC-SKL-10016,supporting,inferred,Prerequisite for Evaluate the improper integral using limit notation.
BC-PRQ-06004,BC-SKL-06042,supporting,inferred,Prerequisite for Antidifferentiate basic trigonometric integrands.
BC-PRQ-06004,BC-SKL-06043,supporting,inferred,Prerequisite for Antidifferentiate integrands whose antiderivatives are inverse trigonometric.
BC-PRQ-06005,BC-SKL-01001,supporting,inferred,Prerequisite for Compute an average rate of change over an interval.
BC-PRQ-06005,BC-SKL-01002,supporting,inferred,Prerequisite for Explain why an average rate of change is undefined at a single point.
BC-PRQ-06005,BC-SKL-01003,supporting,inferred,Prerequisite for Describe an instantaneous rate as a limit of average rates.
BC-PRQ-06005,BC-SKL-01004,supporting,inferred,Prerequisite for Estimate an instantaneous rate from average rates over shrinking intervals.
BC-PRQ-06005,BC-SKL-01005,supporting,inferred,Prerequisite for Write a limit statement in correct analytic notation.
BC-PRQ-06005,BC-SKL-01006,supporting,inferred,Prerequisite for Interpret a limit statement given in analytic notation.
BC-PRQ-06005,BC-SKL-01007,supporting,inferred,Prerequisite for Write one sided limit notation.
BC-PRQ-06005,BC-SKL-01008,supporting,inferred,Prerequisite for Distinguish the limit at a point from the function value at that point.
BC-PRQ-06005,BC-SKL-01009,supporting,inferred,Prerequisite for Estimate a two sided limit from a graph.
BC-PRQ-06005,BC-SKL-01010,supporting,inferred,Prerequisite for Estimate one sided limits from a graph.
BC-PRQ-06005,BC-SKL-01014,supporting,inferred,Prerequisite for Explain how the scale of a graph can hide function behaviour.
BC-PRQ-06005,BC-SKL-01015,supporting,inferred,Prerequisite for Estimate a two sided limit from a table of values.
BC-PRQ-06005,BC-SKL-01016,supporting,inferred,Prerequisite for Estimate a one sided limit from a table of values.
BC-PRQ-06005,BC-SKL-01017,supporting,inferred,Prerequisite for Judge whether a table supports a limit value or is inconclusive.
BC-PRQ-06005,BC-SKL-01018,supporting,inferred,Prerequisite for Apply the sum and difference limit theorems.
BC-PRQ-06005,BC-SKL-01019,supporting,inferred,Prerequisite for Apply the product and constant multiple limit theorems.
BC-PRQ-06005,BC-SKL-01020,supporting,inferred,Prerequisite for Apply the quotient limit theorem and check the denominator condition.
BC-PRQ-06005,BC-SKL-01022,supporting,inferred,Prerequisite for Apply the limit theorem for composite functions.
BC-PRQ-06005,BC-SKL-01036,supporting,inferred,"Prerequisite for Match a graph, a table, and an analytic expression of the same limit."
BC-PRQ-06005,BC-SKL-01037,supporting,inferred,Prerequisite for Translate a limit statement into a verbal description of behaviour.
BC-PRQ-06005,BC-SKL-01043,supporting,inferred,Prerequisite for State the three conditions of continuity at a point.
BC-PRQ-06005,BC-SKL-01045,supporting,inferred,Prerequisite for Justify a continuity conclusion by naming the failed condition.
BC-PRQ-06005,BC-SKL-01060,supporting,inferred,Prerequisite for Write a limit expression describing end behaviour in context.
BC-PRQ-06005,BC-SKL-05003,supporting,inferred,Prerequisite for Compute the average rate of change over a closed interval.
BC-PRQ-06005,BC-SKL-05025,supporting,inferred,Prerequisite for Evaluate the function at every candidate.
BC-PRQ-06005,BC-SKL-05048,supporting,inferred,Prerequisite for Answer a question about a function from tabulated derivative values.
BC-PRQ-06005,BC-SKL-06001,supporting,inferred,Prerequisite for Interpret the area under a rate of change graph as accumulated change.
BC-PRQ-06005,BC-SKL-06002,supporting,inferred,Prerequisite for State the units of an accumulated change.
BC-PRQ-06005,BC-SKL-06005,supporting,inferred,Prerequisite for Compute a left Riemann sum from a table of values.
BC-PRQ-06005,BC-SKL-06006,supporting,inferred,Prerequisite for Compute a right Riemann sum from a table of values.
BC-PRQ-06005,BC-SKL-06009,supporting,inferred,Prerequisite for Compute a Riemann sum for a function given by a graph or a formula.
BC-PRQ-06005,BC-SKL-06017,supporting,inferred,Prerequisite for Write an accumulation function as a definite integral with a variable upper limit.
BC-PRQ-06005,BC-SKL-06019,supporting,inferred,Prerequisite for Differentiate an accumulation function whose upper limit is a function of x.
